current_location, new_locations, replace
BC, British Columbia|Canada, 1
Battle Creeck, Battle Creek|Michigan, 1
CA, California, 1
Calico Ghost Town, California, 0
Desert Botanical Garden of Arizona, Desert Botanical Garden|Phoenix|Arizona, 1
Grand Canyon Arizona, Grand Canyon|Arizona, 1
Montezuma Castle Arizona, Montezuma Castle National Monument|Camp Verde|Arizona, 1
Bryce Canyon, Bryce Canyon National Park, 1
Cananda, Canada, 1
"Children's Fairyland Theme Park", "Children's Fairyland Park", 1
Christine Falls, Christine Falls|Mount Rainier National Park|Washington, 1
Crater Lake, Crater Lake National Park|Oregon, 1
Cypress Gardnes, Cypress Gardens, 1
Cyrier St. House in Reedley, Cyrier St. Hayward Home|Reedley|California, 1
Dennis the Menace Play Area, Dennis the Menace Play Area|Monterey|California, 0
FL, Florida, 1
Fort Wilkins Michigan, Fort Wilkins State Park|Copper Harbor|Michigan, 1
Fort Wilkins, Fort Wilkins State Park|Copper Harbor|Michigan, 1
Gitchee Gumee, Gitchee Gumee Camp|Eagle River|Michigan, 1
Eagle River, Eagle River|Michigan, 1
Glacier National Park Montana, Glacier National Park|Montana, 1
Grand Canyon Arizona, Grand Canyon|Arizona, 1
Greenfield Village Deadborne Michigan, Greenfield Village|Dearborne|Michigan, 1
Hume, Hume Lake Christian Camps|California, 0
Marineland, Marineland of the Pacific|Los Angeles|California, 1
Marineland Park, Marineland of the Pacific|Los Angeles|California, 1
Monterey CA, Monterey|California, 1
Montezuma Castle Arizona, Montezuma Castle National Monument|Camp Verde|Arizona, 1
Mormon Temple, "Laie Hawaii Temple|O'ahu|Hawaii", 1
Mt. Rainier, Mount Rainier National Park|Ashford|Washington, 1
Mt. Rainier National Park, Mount Rainier National Park|Ashford|Washington, 1
National Memorial Cemetery of the Pacific, National Memorial Cemetery of the Pacific|Honolulu|Hawaii, 1
Niagra Falls, New York, 0
Rainbow Forest, The Rainbow Forest|Petrified Forest National Park|Arizona, 1
Reedly, Reedley|California, 1
Rock City Georgia, Rock City|Georgia, 1
Sammamish Bible Camp, Bellevue|Washington, 0
Seattle Washington, Seattle, 1
Korea, South Korea, 1
Victoria BC, Victoria|British Columbia|Canada, 1
Victoria BC Canada, Victoria|British Columbia|Canada, 1
Victoria BC: Butchart Gardens, The Buchart Gardens|Brentwood Bay|British Columbia|Canada, 1
Buchart Gardens, The Butchart Gardens|Brentwood Bay|British Columbia|Canada, 1
WA, Washington, 1
and road trip destinations, "St. James Episcopal Church|San Francisco|Mark Twain Cabin|Tuttletown|Drytown|Sutter's Fort State Historic Park|Sacramento", 1
